Azimuth,Lower,Light Dome
0,13,0
5,14,3
10,13,11
15,13,18
20,13,21
25,12,24
30,12,26
35,10,27
40,10,28
45,10,25
50,9,29
55,8,31
60,10,29
65,8,32
70,10,32
75,10,32
80,10,29
85,9,31
90,9,31
95,12,33
100,10,32
105,12,32
110,9,32
115,8,32
120,10,33
125,14,38
130,16,38
135,16,37
140,16,38
145,15,38
150,13,38
155,13,35
160,9,30
165,8,28
170,8,27
175,7,21
180,10,13
185,11,8
190,12,0
195,12,0
200,10,0
205,8,0
210,10,0
215,10,0
220,8,0
225,6,0
230,7,0
235,10,0
240,5,0
245,9,0
250,9,0
255,6,0
260,6,0
265,6,0
270,6,0
275,6,0
280,6,0
285,6,0
290,10,0
295,8,0
300,9,0
305,8,0
310,6,0
315,9,0
320,11,0
325,10,0
330,12,0
335,12,0
340,13,0
345,13,0
350,14,0
355,14,0
